 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|sumangali seva ashrama|kodihalli|34032|ANNASANDRAPALYA 2ND|Anganwadi|co-ed|kannada|HAL Post, Shastri Nagar Main Road|Annasandrapalya|560017|Opposite Annasandrapalya Bus Stop|Inside G.K.L.P.S Annasandra|333 C, 330 C, 335, 411|Cream Colour Building|POINT(77.67238 12.9646)
 bangalore|sumangali seva ashrama|kodihalli|31342|G M PALYA|Anganwadi|co-ed|kannada|5th main Road,1st Cross,Ambedkar Nagar,New Thippasandra Poat,Bangalore|Jagadishanagar|560075|Bisde B E M L hospital|Light Brown Colour Building|314N,314E|Blue Colour Door|POINT(77.66573 12.97103)
 bangalore|sumangali seva ashrama|kodihalli|31355|CHALLA GHATTA|Anganwadi|co-ed|kannada|Yamaluru Post,Bangalore|Challaghatta|560037|Compound Inside G K L P S Challaghatta|Pink Colour Building & Green Colour Door|334B,334C,400F|Pink Colour Building  & Infront Trees|POINT(77.64883 12.9455)
 bangalore|sumangali seva ashrama|kodihalli|33458|DOMMALURU|Anganwadi|co-ed|kannada|A K colony,4th main Road Dommaluru Post,Bnagalore|Dommaluru|560071|opp Om Shakihi Temple|Yellow colour Building & Yellow colour Door|329330|Yellow colour Compound|POINT(77.63594 12.95775)
 bangalore|sumangali seva ashrama|kodihalli|30954|YEMALORE 2|Anganwadi|co-ed|kannada|Yemalur Post, Yemalur Main Road, Samudaya Bhavan|Yemalur|560037|Near Yemalur Bus Stop|Cream Colour Building|336 A, 336 B, 336 C|Brown Colour Door|POINT(77.68062 12.94556)
 bangalore|sumangali seva ashrama|kodihalli|30958|ANASANDRAPALYA|Anganwadi|co-ed|kannada|HAL Post, Shastri Nagar Main Road|Annasandrapalya|560017|Opposite Annasandrapalya Bus Stop|Inside G.K.L.P.S Annasandra|333 C, 330 C, 335, 411|Cream Colour Building|POINT(77.67237 12.96465)
 bangalore|sumangali seva ashrama|kodihalli|30967|YAMALURU 1|Anganwadi|co-ed|kannada|Yemalur Post, Yemalur Main Road, Samudaya Bhavan|Yemalur|560037|Opposite Yemalur Bus Stop|Yemalur Post Office Building|336 A, 336 B, 336 C|Cream Colour Building|POINT(77.68058 12.94709)
 bangalore|sumangali seva ashrama|kodihalli|30968|BINNAMANGALA|Anganwadi|co-ed|kannada|1st Cross,1st main Road,H A L Colony,Indiranagar 1 St Stage,Bangalore|Binnamangala|560038|Compound Inside G K H P S Binnamangala|Yellow colour Building & Blue colour Door||Yellow colour Building & Blue colour Gate|POINT(77.6431 12.98164)
 bangalore|sumangali seva ashrama|kodihalli|30970|MALLESHANAPALYA|Anganwadi|co-ed|kannada|1stMain Road,New thippasandra post,bangalore|MALLESHANAPALYA|56000075|Near Jalakanteshwara temple & Infront Pillekamma Temple|Yellow Colour Building|314|Blue Colour doors|POINT(77.6717 12.97616)
 bangalore|sumangali seva ashrama|kodihalli|30972|DARGAMOHALLA|Anganwadi|co-ed|kannada|Baba Lane, Kerala Masjid Road, Dooravani Nagar Post||560016|Near Railway Station Bus Stop|Cream Colour Building|500, 501, 504|Cream Colour Compound|POINT(77.6741 13.00029)
