 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|identification1|busroutes|identification2|latlong                  
 bangalore|south-1|kumbalagodu|31978|GKHPS GONIPURA|Upper Primary|co-ed|kannada|K.Gollahalli Post, Kengeri Post, S-1|Gonipura|560060|Beside Gonipura Bus Stop|White Colour Compound, Playground|288 A, 288 B, 288 C, 288 D|Blue Colour Sheet Building, Coconut Tree|POINT(77.451 12.83285)
 bangalore|south-1|kumbalagodu|31979|GKHPS KANIMINIKE|Upper Primary|co-ed|kannada|Kumbalagudu Post, Kengeri Hobli, S-1|Kanniminike|560060|Opposite Kanniminike Bus Stop|Cream Colour Building|226 M, 226 B, 226 E||POINT(77.4335 12.8633)
 bangalore|south-1|kumbalagodu|31980|GKHPS KUMBALAGODU|Upper Primary|co-ed|kannada|Kumbalagudu Post, Kengeri Hobli, S-1|Kumbalagudu|560074|Near Kumbalagudu Bus Stop|White Colour Compound, Playground|226 N, 228 A, 228 M|White Colour Building|POINT(77.44594 12.87958)
 bangalore|south-1|kumbalagodu|31981|GKLPS ANCHEPALYA|Lower Primary|co-ed|kannada|Kumbalagudu Post, Kengeri Hobli, S-1|Anchepalya|560060|Behind Anchepalya Bus Stop|White Colour Compound|226 M, 226 N, 228|White Colour Building|POINT(77.45756 12.89134)
 bangalore|south-1|kumbalagodu|31982|GKLPS DEVAGERE COLONY|Lower Primary|co-ed|kannada|K.Gollahalli Post, Kengeri Post, S-1|Devagere Colony|560060|Near Devagere Colony Bus Stop|White Colour Compound|288 A, 288 D|White Colour Building|POINT(77.45851 12.85329)
 bangalore|south-1|kumbalagodu|31984|GKLPS GAVIYANAPALYA|Lower Primary|co-ed|kannada|G.Gollahalli Post, Kengeri Post, S-1|Gaviyanapalya|560060|Near Gaviyanapalya Bus Stop|White & Cream Colour Building|219||POINT(77.46933 12.84161)
 bangalore|south-1|kumbalagodu|31986|GKLPS HAMPAPURA|Lower Primary|co-ed|kannada|Manchanayakanahalli Post, Kengeri Hobli, S-1||562109|Opposite Hampapura Bus Stop|White Colour Sheet Building|228 B, 228 E||POINT(77.42882 12.83058)
 bangalore|south-1|kumbalagodu|31988|GKLPS KAMBIPURA|Lower Primary|co-ed|kannada|Kumbalagudu Post, Kengeri Hobli, S-1|Kambipura|560060|Near Kambipura Bus Stop|White Colour Compound|218 A|White Colour Building|POINT(77.46196 12.87198)
 bangalore|south-1|kumbalagodu|31989|GKLPS KARUBELE|Lower Primary|co-ed|kannada|Kumbalagudu Post, Kengeri Hobli, Bangalore|Karubele|560074|Beside Maramma Temple|White Colour Building And Blue Colour Door|224A, 224D|Infront Flag Post|POINT(77.46591 12.87468)
 bangalore|south-1|ganapathi halli|32108|GKHPS GANAPATHI HALLI|Upper Primary|co-ed|kannada|Chunchanaguppe Post, Tavarekere Hobli|Ganapathihalli|562130|Cream Colour Ganapathihalli Water Tank|White Colour Compound & Play Ground|227 A, 227 Z|White Colour Building|POINT(77.39591 12.91271)
 bangalore|south-1|taverekere|32235|GKLPS BASAVANAPALYA|Lower Primary|co-ed|kannada|Dodda Aladamara Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Basavanapalya|562130|Near Basaveshwara Swamy Temple|Yellow Colour Building & Blue Colour Door & Infront Flag Post|374, 377|Yellow Colour Compound & Blue Colour Gate|POINT(77.40006 12.93309)
 bangalore|south-1|taverekere|32239|GKLPS GANGAPPANAHALLI|Lower Primary|co-ed|kannada|Thippagondanahalli Post, Tavarekere Hobli, Bangalore|Gangappanahalli|562120|Near Gangappanahalli Bus Stop|Yellow Colour Building & Blue Colour Door & Inside Flag Post|242 C, 242 Z|White Colour Compound & Brown Colour Gate|POINT(77.3527 12.95715)
 bangalore|south-1|taverekere|32242|GKLPS LAKSHMIPURA (TAVAREKERE)|Lower Primary|co-ed|kannada|Magadi Main Road, Guruvabhovi Palya, Janatha Colony, Thavarekere Post, Thavarekere Hobli, Bangalore|Laxmipura|562130|Opposite Maramma Temple|Yellow Colour Compound And Brown Colour Door And Infont Flag Post|242U|Yellow Colour Compound And Brown Colour Gate And School Entrance Arch|POINT(77.38303 12.99029)
 bangalore|south-1|taverekere|32243|GKLPS MARENAHALLI (TAVAREKERE)|Lower Primary|co-ed|kannada|Magadi Main Road, Tippagondana Halli Post, Thavarekere Hobli, Bangalore|Marenahalli|562120|Beside Ashwath Katte|Yellow Colour Building And Blue Colour Door|242Z, 242PA, 242E|White Colour Compound And Blue Colour Gate|POINT(77.36009 12.97222)
