"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
266,24,234,"K R Market","Manganahalli",15.8,2,15,15,30,,,
267,,"234-A","K R Market","Hullalu Satellite Town",14.3,6,40,40,80,,,
268,,"234-B","Agara","Hullalu Sattelite Town",27.3,2,18,18,36,,,
269,,"234-E","Kempegowda Bus Stn","Hullalu Sattelite Town",16.7,7,40,40,80,,,
270,25,235,"Kempegowda Bus Stn","Janana Bharathi",16.8,2,20,20,40,,,
271,,"235-A","K R Market","Nagarabhavi Village",13.9,2,50,50,100,,,
272,,"235-B","Kempegowda Bus Stn","Dodda Basthi",18.3,1,7,7,14,,,
273,,"235-C","Kempegowda Bus Stn","Govt.Sub Press ",16.8,1,8,8,16,,,
274,,"235-D","Kempegowda Bus Stn","Sulekere ",19.8,1,7,7,14,,,
275,,"235-E","Kempegowda Bus Stn","Papareddy Palya",19.6,2,16,16,32,,,
276,,"235-F","Kempegowda Bus Stn","Sports Authority of India",14.6,1,9,9,18,,,
277,,"235-H","Jayanagar 9th Block","Bandemarramma Bus station",25.4,1,5,4,9,,,
278,,"235-J","Yeshwanthpur Bus Station","Bharath Housing Society Layout",22.2,1,6,6,12,,,
279,,"235-K","Kempegowda Bus Stn","Dodda Basthi",16.7,2,16,16,32,,,
280,,"235-L","K R Market","ITI Layout",15.5,1,6,6,12,,,
281,,"235-N","BTML","Annapoorneshwari Nagar",21.4,1,6,6,12,,,
282,,"235-P","Kempegowda Bus Stn","Doddabasti",17.9,1,7,7,14,,,
283,,"235-Q","Kempegowda Bus Stn","Maruthi Nagar",17.6,1,6,6,12,,,
284,26,236,"Peenya 2nd Stage","Kengeri Satelitte town",30,1,6,6,12,,,
285,27,237,"K R Market","Srinivasa Nagar",10.5,1,11,11,22,,,
286,,"237-A","Kempegowda Bus Stn","Panchasheelanagara ",7.7,1,13,13,26,,,
287,,"237-B","K.R.Market","Muneshwaranagara(Kaverinagara)",10.6,1,14,"GS",14,,,
288,,"237-C","Shivajinagar Bus Station","Bandemarramma Bus Stand ",14.6,1,7,10,17,,,
289,,"237-D","Chowdeshwari J.P.Park","Bandemarramma Bus Stand ",18.7,1,10,"GS",10,,,
290,28,238,"Kempegowda Bus Stn","Nrupathunganagar",12.4,6,36,39,75,,,
291,,"238-A","Kempegowda Bus Stn","Nagarabhavi Ist Block ",9.8,3,40,40,80,,,
292,,"238-B","Vijayanagar","Nrupathunga Nagar",6.7,1,11,11,22,,,
293,,"238-C","Kempegowda Bus Stn","Bandemaramma Bus Stand ",10.2,3,25,25,50,,,
294,,"238-F","Malleshwaram 18th Cross","Nagarabhavi Ist & 3rd Block ",12.8,1,10,10,20,,,
295,,"238-G","Yeshwanthpur Bus Station","Nrupathunga Nagar",14.6,1,7,7,14,,,
296,,"238-H","Kempegowda Bus Stn","Kempegowda Bus Stn (Ring Route)",23,1,6,6,12,,,
297,,"238-K","K R Market","Bandemarramma Bus station",13.8,1,7,7,14,,,
298,,"238-M","BUC ADM Office ","Yeshwanthpura Bus station",17.1,1,8,8,16,,,
299,,"238-N","Nrupathunga Nagar","Koramangala",24.7,1,5,5,10,,,
300,,"238-P","Kempegowda Bus Stn","Srigandadakaval",15.8,1,10,10,20,,,
301,,"238-Q","Vijayanagar","Vijayanagara(MDP NBC)",10.2,1,12,12,24,,,
302,,"238-R","Vijayanagar","Vijayanagara (MDP NBC)",10.2,1,12,12,24,,,
303,,"238-T","Shivajinagar","Malagala",15,1,6,6,12,,,
304,,"238-U","Kempegowda Bus Stn","Dr. Ambedkar Institute Technology",13.8,6,48,48,96,,,
305,,"238-V","Kempegowda Bus Stn","Dr. Ambedkar Institute Technology",11.6,7,48,50,98,,,
306,,"238-VA","Shivajinagara Bus Station","Bandemarramma Bus station",19,1,6,7,13,,,
307,,"238-VR","City Railway Station","Dr. Ambedkar Institute Technology",13.8,3,24,24,48,,,
308,,"238-W","Kempegowda Bus Stn","Narasapura ",16.5,1,8,8,16,,,
309,,"238-Z","Shivajinagara Bus Station","Sri Matha Amruthanandamayi Matt",13.4,1,6,8,14,,,
310,29,"239-A","Shivajinagar","BEML 5th Stage",17.6,1,8,8,16,,,
311,,"239-C","Kempegowda Bus Stn","Bangalore Children Hospital ",19.5,1,6,6,12,,,
312,,"239-D","Shivajinagar","BangarappaNagar",17.9,1,6,6,12,,,
313,30,240,"K R Market","Machohalli",19.5,2,15,15,30,,,
314,,"240-A","Shivajinagar","Machohalli",21.2,1,6,6,12,,,
315,,"240-B","K.R.Market","Shivajinagar Bus Station",13.7,1,7,7,14,,,
316,,"240-C","K R Market","Kachohalli",17.4,2,15,15,30,,,
317,,"240-D","Kempegowda Bus Stn","Sunkada Katte",9.1,2,28,28,56,,,
318,,"240-E","K R Market","Byla Konenahalli",20.5,1,7,7,14,,,
319,,"240-F","K R Market","Nelamangala",33.5,1,4,4,8,,,
320,,"240-G","K R Market","Mahadeshwaranagar hale circle",13.9,1,9,9,18,,,
321,,"240-H","K R Market","G. Hosahalli",15.5,1,8,8,16,,,
322,,"240-J","K R Market","Chikkamaskalgrama",48.8,1,8,8,16,,,
323,,"240-K","K R Market","Biskur",72.3,1,2,3,5,,,
324,,"240-L","K R Market","Bharathnagar 2nd stage",14.5,1,5,5,10,,,
325,,"240-M","K.R.Market","Magadi",58.2,1,3,3,6,,,
326,,"240-N","K R Market","Heligehalli Colony",66.9,1,3,3,6,,,
327,,"240-P","BTM Layout","Sunkada Katte",22,2,14,14,28,,,
328,,"240-R","Magadi Road Tolgate","Gollarahatti ",17,1,10,10,20,,,
329,31,241,"K.R.Market","Kenchanapura",20.3,2,15,15,30,,,
330,,"241-A","K R Market","Ullal Sattelite Town",17.4,1,8,8,16,,,
331,,"241-B","Kempegowda Bus Stn","Kenchanapura",20.3,2,15,15,30,,,
332,,"241-C","K R Market","Chikka Kodigehalli ",18.7,3,15,15,30,,,
333,,"241-D","Kempegowda Bus Stn","Bharath Nagar",14.2,2,16,16,32,,,
334,,"241-E","Kempegowda Bus Stn","Gollarahatti",17.2,1,8,8,16,,,
335,,"241-F","K R Market","C. Gollarahatti",16.9,1,8,8,16,,,
336,,"241-G","K R Market","Segehalli",22.1,1,7,7,14,,,
337,,"241-H","Kempegowda Bus Stn","Mahadeshwaranagar ",14,1,9,9,18,,,
338,,"241-J","Kempegowda Bus Stn","Srinivasanagara",10.7,1,9,9,18,,,
339,,"241-K","K.R.Market","Sulikere",22.3,1,5,5,10,,,
340,,"241-L","Shivajinagar Bus Station","Kenchanapalya",25.3,1,4,4,8,,,
341,,"241-M","K.R.Market","Savanadurga",32,1,4,4,8,,,
342,,"241-N","K.R.Market","Bramhadevara Gudda",16.7,1,4,4,8,,,
343,,"241-P","Shivajinagar Bus Station","Kannelli ",23.3,1,5,6,11,,,
344,,"241-Q","Shivajinagar Bus Station","Mahadeshwaranagara ",,1,,,,,,
345,32,242,"K R Market","Tavarekere ",24.8,3,15,15,30,,,
346,,"241-AA","Banashankari","Thavarekere ",31.6,1,3,3,6,,,
347,,"242-B","Kempegowda Bus Stn","Tavarekere ",22.7,1,6,6,12,,,
348,,"242-BA","Shivajinagar","Thavarekere ",28.5,1,6,"GS",6,,,
349,,"242-C","K.R.Market ","Thunganagara",12.2,5,40,40,80,,,
350,,"242-CD","K.R.Market","Veeranapalya ",13.6,1,14,"GS",14,,,
351,,"242-D","K R Market","Annapoorneshwari Nagar",14.4,3,27,27,54,,,
352,,"242-E","K R Market","Chola Nayakanahalli",31.9,1,6,6,12,,,
353,,"242-F","K R Market","Yelachakuppe",27.4,1,6,6,12,,,
354,,"242-FA","K.R.Market","Gidadapalya",24,1,4,4,8,,,
355,,"242-FB","Kempegowda Bus Stn","Yelachakuppe",26.4,1,5,5,10,,,
356,,"242-G","K R Market","Byadarahalli ",14.5,1,9,9,18,,,
357,,"242-H","K R Market","Mada Patna",31.6,1,6,6,12,,,
358,,"242-J","K R Market","Dodda Maranahalli",30.1,1,6,6,12,,,
359,,"242-JA","Shivajinagara Bus Station","Ganakal",33.2,1,4,4,8,,,
360,,"242-K","K.R.Market","Ramohalli ",31.5,1,7,7,14,,,
