"SL.","Num","Route ",,,"Route ","No.of ","No.of  Trips",,"No. of",,,
"No.","No.","No. ","FROM","TO","Length","Sch. ","Ist","IInd ","Total Trips ",,,
1112,,"314-N","Shivajinagar","Basaveswara Nagar SamudayaBhavan",12.9,1,9,10,19,,,
1113,,"314-P","Nagavarapalya","Jagadeesh Nagar",14.4,2,14,16,30,,,
1114,,"314-R","C.V.Raman Nagar","Balaji Layout ",31.7,2,8,8,16,,,
1115,,"314-T","Kempegowda Bus Stn","Basava Nagar",21.1,4,22,22,44,,,
1116,,"314-X","Kempegowda Bus Stn","Abbaiah Reddy Layout ",20.2,1,5,7,12,,,
1117,,"314-Z","Kempegowda Bus Stn","Jagadeesh Nagar",16.1,1,10,10,20,,,
1118,102,315,"Kempegowda Bus Stn","K R Puram",18.4,5,30,30,60,,,
1119,,"315-B","Kempegowda Bus Stn","A.Narayanapura",15.3,1,12,"GS",12,,,
1120,,"315-C","Kempegowda Bus Stn","Krishnaiahna Palya",12.1,1,10,10,20,,,
1121,,"315-D","Kempegowda Bus Stn","Kalkere",17.8,3,18,15,33,,,
1122,,"315-E","Kempegowda Bus Stn","Sadaramangala",21.6,1,6,6,12,,,
1123,,"315-F","Kempegowda Bus Stn","Seegehalli",19.1,1,8,8,16,,,
1124,,"315-G","Banashankari","K.R.Puram",25,2,6,6,12,,,
1125,,"315-H","Kempegowda Bus Stn","Vijinapura",18,1,10,"GS",10,,,
1126,,"315-J","Kempegowda Bus Stn","Aduru25.9",29.2,1,8,"GS",8,,,
1127,,"315-K","Kempegowda Bus Stn","K.R.Puram",18.8,3,19,17,36,,,
1128,,"315-L","Kempegowda Bus Stn","Ramamurthy Nagar",18,3,16,16,32,,,
1129,,"315-P","Kempegowda Bus Stn","Shanthi Layout",18.5,2,13,14,27,,,
1130,,"315-T","Kempegowda Bus Stn","Kittaganur",20.8,2,8,8,16,,,
1131,,"315-V","Kempegowda Bus Stn","Kadugodi",25.4,1,4,6,10,,,
1132,103,316,"K R Market","Boodigere",33.5,1,3,5,8,,,
1133,,"316-A","K R Market","Gangawara",37.1,1,3,5,8,,,
1134,,"316-B","Kempegowda Bus Stn","Boodigere",33.5,3,10,14,24,,,
1135,,"316-C","K R Market","Huskur",28.9,1,3,6,9,,,
1136,,"316-D","K R Market","Bhattara Maranahalli",38.8,2,5,7,12,,,
1137,,"316-E","K R Market","Hancharahalli",30,1,3,6,9,,,
1138,,"316-F","Kempegowda Bus Stn","Cheemasandra",24.4,1,3,7,10,,,
1139,,"316-G","Kempegowda Bus Stn","Mandoor",27.5,1,7,"GS",7,,,
1140,,"316-J","Kempegowda Bus Stn","Kattu Gollahalli",32.3,1,4,4,8,,,
1141,,"316-K","K R Market","Kaggalahalli",37.8,1,3,5,8,,,
1142,,"316-L","K.R.Market ","Cheemasandra",22.4,1,3,5,8,,,
1143,,"316-M","Kempegowda Bus Stn","Singahalli",38.9,1,3,5,7,,,
1144,,"316-N","K R Market","Handarahalli",31.2,1,7,"GS",7,,,
1145,,"316-P","Sri Sathya Sai Hospital","Devanahalli",39.9,1,6,"GS",6,,,
1146,,"316-Q","Kempegowda Bus Stn","Kaggalahalli",31.1,1,5,"GS",5,,,
1147,,"316-R","K R Market","Nalluru",41.4,2,6,6,12,,,
1148,,"316-T","K.R.Market ","Somathahalli",39.2,1,3,5,8,,,
1149,,"316-U","K.R. Market","Nalluru ",40.2,1,5,"GS",5,,,
1150,,"316-V","K.R.Market ","Byappanahalli ",26.9,1,5,5,10,,,
1151,104,317,"K R Market","Hoskote",28,12,60,68,128,,,
1152,,"317-A","Kempegowda Bus Stn","Hosakote",29.1,18,76,76,152,,,
1153,,"317-B","K R Market","Kannamangala",27.5,2,8,8,16,,,
1154,,"317-C","K R Market","Poojena Agrahara",34.6,1,3,5,8,,,
1155,,"317-D","K R Market","Kannurahalli",28.8,1,3,5,8,,,
1156,,"317-E","K R Market","Kumbalahalli",31.6,2,8,10,18,,,
1157,,"317-F","K R Market","Pillagumpa Industrial Area",36,1,4,6,10,,,
1158,,"317-G","Shivajinagar","Hosakote",26.1,8,27,31,58,,,
1159,,"317-J","K R Market","Kacharakana Halli",40.2,1,3,5,8,,,
1160,,"317-K","K R Market","Kurubarahalli",34.4,1,3,5,8,,,
1161,,"317-L","Kempegowda Bus Stn","Jangamakote",57.2,1,3,4,7,,,
1162,,"317-M","K R Market","Dasarahalli",36.3,2,8,8,16,,,
1163,,"317-MA","K.R. Market","Gottipura ",35.4,1,5,"GS",5,,,
1164,,"317-N","K R Market","Kamarasanahalli",42.4,1,3,4,7,,,
1165,,"317-P","K R Market","Kannamangala",28,1,4,6,10,,,
1166,,"317-Q","K R Market","Nelavagilu ",55,1,3,3,6,,,
1167,,"317-R","K R Market","Cheemanda Halli",29.6,1,3,5,8,,,
1168,,"317-S","K R Market","Begur ",37.2,1,3,3,6,,,
1169,,"317-SA","K.R.Market ","Dodda Nallurhalli ",39.6,1,3,3,6,,,
1170,,"317-T","K R Market","Vagata(Jinnagara) ",35.3,1,3,5,8,,,
1171,,"317-V","Kempegowda Bus Stn","Naduvathi",41,3,9,9,18,,,
1172,,"317-W","K R Market","Ganagalu",33.7,1,7,"GS",7,,,
1173,,"317-Y","K R Market","Govindapura ",42.5,1,3,4,7,,,
1174,,"317-YA","K R Market","Kattigenahalli",42.5,1,3,3,6,,,
1175,,"317-YB","Kempegowda Bus Stn","Kattigenahalli",43.5,1,3,3,6,,,
1176,,"317-YD","K.R.Market ","Doddathaggalli ",43.2,1,5,5,10,,,
1177,,"317-Z","Kempegowda Bus Stn","Khaji Hosahalli",41,1,2,2,4,,,
1178,105,318,"K R Market","Jyothipura",29,2,11,11,22,,,
1179,,"318-A","K R Market","Bommanahalli",30.7,1,5,5,10,,,
1180,,"318-E","K R Market","Tirumenahalli",32.3,1,5,5,10,,,
1181,106,319,"K R Market","Kaji Sonnenahalli ",30.1,1,13,13,26,,,
1182,,"319-A","K R Market","White Field Post Office",23.9,1,6,6,12,,,
1183,,"319-B","K R Market","Chikka Banahalli",28,1,5,5,10,,,
1184,,"319-C","Kempegowda Bus Stn","Kadugodi Gandhi Circle ",24,2,12,12,24,,,
1185,,"319-E","Halasoor","Hope Farm",14.1,3,30,30,60,,,
1186,,"319-F","Kempegowda Bus Stn","Pattandur Agrahara",22.1,1,11,11,22,,,
1187,,"319-G","Kempegowda Bus Stn","Dr. Ambedkar Nagar",25,1,5,5,10,,,
1188,,"319-J","K R Market","Dinnur (Kadugooli)",23.5,1,5,5,10,,,
1189,107,320,"Shivajinagar","Immadihalli",22.6,2,14,14,28,,,
1190,,"320-A","Kempegowda Bus Stn","Nagondanahalli",24.9,2,11,11,22,,,
1191,,"320-B","Kempegowda Bus Stn","Gandhi Pura",24,1,6,6,12,,,
1192,,"320-C","Shivajinagar","Sathya Sai Hospital (Vydehi Hptl)",20,2,11,11,22,,,
1193,,"320-D","Vivekanagara ","Kadugodi",24.1,1,4,4,8,,,
1194,,"320-E","Shivajinagar","Nagondanahalli",23.6,1,7,7,14,,,
1195,,"320-F","Shivajinagar","Harohalli",26,1,5,5,10,,,
1196,,"320-H","Shivajinagar","Gandhi Pura",19,1,7,7,14,,,
1197,108,321,"K R Market","Muthkur",29.9,1,6,6,12,,,
1198,,"321-A","K R Market","Seegehalli",25.1,1,6,6,12,,,
1199,,"321-B","Banashankari","Muthkur",32.8,1,4,4,8,,,
1200,,"321-C","K.R.Market ","Somathanahalli ",26.7,1,5,5,10,,,
1201,,"321-D","K R Market","Naga Nayakana Kote",30,1,6,6,12,,,
1202,,"321-E","Shivajinagar","Mutkur",28.5,1,4,4,8,,,
1203,,"321-G","Kempegowda Bus Stn","Muthkur",33.4,1,5,5,10,,,
1204,,"321-H","K.R. Market","Damodaranagara ",31.2,1,4,4,8,,,
1205,109,322,"K R Market","Muthugadahalli",33.6,1,5,5,10,,,
1206,,"322-A","K R Market","Thattanur ",34.5,1,3,3,6,,,
1207,,"322-B","K R Market","Yadagondahalli ",31,1,4,4,8,,,
1208,,"322-C","K.R. Market","Channasandra ",26,1,8,"GS",8,,,
1209,,"322-D","Kempegowda Bus Stn","Bodana Hosahalli ",35,1,3,3,,,,
1210,,"322-M","K R Market","Tattanoor",37.1,1,5,5,10,,,
1211,110,323,"K R Market","Bagur",38.3,1,5,5,10,,,
1212,,"323-A","K R Market","Gonighatta Pura",28.3,1,6,6,12,,,
1213,,"323-B","K R Market","Koogur",32.8,1,5,5,10,,,
1214,,"323-C","K R Market","Mugalur",36,1,5,5,10,,,
1215,,"323-D","K R Market","Kootaganahalli",33.7,1,6,6,12,,,
1216,,"323-E","K R Market","Nerige",29.4,1,6,6,12,,,
1217,,"323-F","Kempegowda Bus Stn","Nerige",31,1,6,6,12,,,
1218,,"323-G","K R Market","Ramanayakanahalli",37.3,1,5,5,10,,,
1219,,"323-H","K.R. Market","Nekkundi Dommasandra ",25.3,1,5,5,10,,,
1220,,"323-J","Kempegowda Bus Stn","Koothaganahalli",31.9,1,5,5,10,,,
1221,,"323-K","Kempegowda Bus Stn","Chikkathirupathi ",43,1,6,"GS",6,,,
1222,,"323-L","Shivajinagar","Nerige",27.3,1,4,4,8,,,
1223,,"323-M","K.R. Market","Kamanahalli",31.9,1,4,5,9,,,
1224,,"323-N","K.R. Market","Thippasandra ",30.6,1,5,5,10,,,
1225,111,324,"K R Market","Immadihalli",25,1,6,6,12,,,
1226,,"324-A","K R Market","Nagondanahalli",27.1,1,6,6,12,,,
1227,,"324-B","Kempegowda Bus Stn","Vinayakanagar",27,1,5,5,10,,,
1228,,"324-C","K R Market","Agadoor",25.2,1,5,5,10,,,
1229,,"324-D","K R Market","White Field Post Office",23.4,1,7,7,14,,,
1230,,"324-E","K R Market","Vijayanagar",22.5,1,5,5,10,,,
1231,112,325,"K R Market","Harohalli",28.8,2,13,13,26,,,
1232,,"325-A","Kempegowda Bus Stn","Harohalli",29.8,1,5,5,10,,,
1233,113,"326-A","K R Market","Hoskote",33.4,1,4,4,8,,,
1234,,"326-C","K R Market","Kadugodi",26.5,3,25,25,50,,,
1235,,"326-E","K R Market","Hosakote",34.9,5,23,23,46,,,
1236,114,327,"K R Market","Gunjur",24,2,14,14,28,,,
1237,,"327-A","Kempegowda Bus Stn","Dommasandra",30,1,5,5,10,,,
1238,,"327-B","K R Market","Panathur Dinne",29.8,1,4,4,8,,,
1239,,"327-C","K R Market","Attibele",44.1,1,5,5,10,,,
1240,,"327-D","K R Market","Gunjur",27.2,1,10,10,20,,,
1241,,"327-E","K R Market","Gunjur Palya",26.7,1,5,5,10,,,
1242,,"327-F","K R Market","Kanchamaranahalli",28.3,1,6,6,12,,,
1243,,"327-G","Kempegowda Bus Stn","Koogur",37.3,1,4,5,9,,,
1244,,"327-H","K.R. Market","Kamanahalli",33.8,1,4,5,9,,,
1245,115,328,"K R Market","Varthur",20.6,2,14,14,28,,,
1246,,"328-B","Hosakote","Sarjapura",30,15,60,60,120,,,
1247,,"328-BG","Hosakote","Kadugodi",13.8,1,12,,12,,,
1248,,"328-E","K R Market","Harohalli",26.5,2,6,6,12,,,
1249,,"328-F","Kempegowda Bus Stn","Valepura",28,1,5,5,10,,,
1250,,"328-H","Hoskote","Attibele",40,10,15,17,32,,,
1251,,"328-HA","Attibele","Kadugodi",29,4,8,4,12,,,
1252,,"328-HB","Tin Factory","Attibele",42.1,2,9,5,14,,,
1253,,"328-K","K.R. Puram ","Varthur",14.6,1,6,6,12,,,
1254,116,329,"K R Market","Muthsandra",26.3,1,6,6,12,,,
1255,,"329-A","K R Market","Madappanaha Halli",28.8,1,5,5,10,,,
1256,,"329-B","K R Market","Jantagondana Halli",28.6,1,6,6,12,,,
1257,,"329-C","K R Market","Kotoor",26.5,1,6,6,12,,,
1258,,"329-D","Shivajinagar","Muthasandra",23.8,1,4,4,8,,,
1259,,"329-E","K R Market","Bellikere",28.5,1,7,7,14,,,
1260,,"329-F","K R Market","Anugondana Halli",34.3,1,5,5,10,,,
1261,,"329-G","Shivajinagara Bus Station","Kotur ",23.9,1,5,5,10,,,
1262,,"329-H","Kempegowda Bus Stn","Bellikere",29.5,1,4,4,8,,,
1263,,"329-J","Shivajinagar Bus Station","Sheganayakanahalli ",31,1,6,"GS",6,,,
1264,117,330,"Shivajinagar","Bellandur Gate ",16.9,8,60,60,120,,,
1265,,"330-A","Shivajinagar","L.B.Shasthri Nagar",11.8,1,8,8,16,,,
1266,,"330-B","Shivajinagar","AECS Layout",16,1,8,8,16,,,
1267,,"330-C","Shivajinagar","Basava Nagar",11.9,2,16,16,32,,,
1268,,"330-D","Shivajinagar","Dodda Kannelli",21.3,1,9,9,18,,,
1269,,"330-E","Shivajinagar","Devara Bisanahalli ",17.5,1,6,7,13,,,
1270,,"330-G","Shivajinagar","Dodda Nekkundi",14.8,2,7,7,14,,,
1271,,"330-H","Shivajinagar","Mune Kolalu",16.7,1,12,"GS",12,,,
1272,,"330-M","Shivajinagar Bus Station","Ashwathnagar",13.8,1,10,10,20,,,
1273,,"330-P","Shivajinagar Bus Station","Panathur",16.2,1,10,"GS",10,,,
1274,,"330-PG","Shivajinagar Bus Station","Gunjuru",16.2,1,10,"GS",10,,,
1275,118,331,"Shivajinagar","Kadugodi",24.8,2,13,13,26,,,
1276,,"331-E","Shivajinagar","Belthur",26.4,1,8,8,16,,,
1277,119,332,"K R Market","Balagere",26.5,1,11,11,22,,,
1278,120,333,"Kempegowda Bus Stn","Marathahalli",16.5,3,30,30,60,,,
1279,,"333-A","Kempegowda Bus Stn","Jagadeesh Nagar",16.1,1,8,8,16,,,
1280,,"333-B","Kempegowda Bus Stn","AECS Layout",19.6,2,15,15,30,,,
1281,,"333-C","Kempegowda Bus Stn","Basava Nagar",16,2,17,17,34,,,
1282,,"333-D","Kempegowda Bus Stn","Chinnappana Halli",19.4,2,14,14,28,,,
1283,,"333-E","Kempegowda Bus Stn","Kadugodi",28.6,9,25,26,51,,,
1284,,"333-F","Kempegowda Bus Stn","Dodda Nekkundi",18,3,22,22,44,,,
1285,,"333-G","Kempegowda Bus Stn","Nellurhalli",24.9,1,5,5,10,,,
1286,,"333-H","Kempegowda Bus Stn","Mune Kolalu",19,1,7,7,14,,,
1287,,"333-J","Kempegowda Bus Stn","HAL Airport",12.9,3,33,"GS",33,,,
1288,,"333-K","Kempegowda Bus Stn","Dr. Ambedkar Nagar",25.1,1,4,4,8,,,
1289,,"333-L","Chandra Layout","White Field Railway Station",35.3,3,9,9,18,,,
1290,,"333-N","Kempegowda Bus Stn","Seetharama Palya",24.4,1,7,7,14,,,
1291,,"333-Q","Kempegowda Bus Stn","Bhoganahalli ",21.9,1,5,6,11,,,
1292,,"333-R","Kempegowda Bus Stn","Marthahalli Ring Road",16.5,5,32,32,64,,,
1293,121,"334-B","K R Market","B.Nagasandra",14.1,1,8,8,16,,,
1294,,"334-C","Kempegowda Bus Stn","B.Nagasandra",15.8,1,8,8,16,,,
1295,,"334-D","Kempegowda Bus Stn","Varthur",21.5,2,12,12,24,,,
1296,,"334-E","Domalur","Hoskote",27.5,6,36,36,72,,,
1297,122,335,"K R Market","Sathya Sai Hospital ",22.5,1,6,6,12,,,
1298,,"335-A","Kempegowda Bus Stn","Sri. Sathya Sai Hospital",26,13,33,34,67,,,
1299,,"335-B","K R Market","Basava Nagar",14.5,2,10,10,20,,,
1300,,"335-C","K R Market","L.B.Shasthri Nagar",14.1,1,8,8,16,,,
1301,,"335-D","K R Market","AECS Layout",18.3,1,6,6,12,,,
1302,,"335-F","Kempegowda Bus Stn","Lalbahadur Shastri Nagar",14.5,1,7,7,14,,,
1303,,"335-G","Vijayanagar","Vydehi Hospital",31,1,8,8,16,,,
1304,,"335-H","HAL Main Gate","Kadugodi",15,6,37,37,74,,,
1305,,"335-J","K.R. Market","Ashwathnagar",16.8,1,4,5,9,,,
1306,,"335-K","K.R.Market ","Beesanahalli ",31.7,1,4,4,8,,,
1307,123,336,"K R Market","Panathur",19.4,2,7,7,14,,,
1308,,"336-A","K R Market","Kempapura",17.8,1,7,7,14,,,
1309,,"336-B","Kempegowda Bus Stn","Kempapura",18.8,1,6,6,12,,,
1310,124,337,"K R Market","Dodda Nekundi",16.5,1,7,7,14,,,
1311,125,338,"K R Market","Mune Kolalu",18.4,1,8,8,16,,,
1312,126,339,"K R Market","Panathur",32.1,1,5,5,10,,,
1313,,"339-E","Shivajinagar","Gunjur",27.6,1,6,6,12,,,
1314,127,340,"K R Market","Gunjur Palya",22.4,1,7,7,14,,,
1315,,"340-A","Kempegowda Bus Stn","HSR Layout 2nd Sector(Cambridge School)",20.7,9,45,45,90,,,
1316,,"340-F","Shivajinagar","Parangi Palya",15.8,1,10,10,20,,,
1317,,"340-G","Kempegowda Bus Stn","HSR Layout BDA Complex",16.1,1,8,8,16,,,
1318,,"340-H","Kempegowda Bus Stn","HSR 2nd stage",17.5,10,7,7,14,,,
1319,,"340-I","K.R.Market ","Devara Beesanahalli ",20,1,5,7,12,,,
1320,,"340-J","K R Market","Huskur",23.3,1,6,6,12,,,
1321,,"340-K","K R Market","Somasundara Palya",19,1,7,7,14,,,
1322,,"340-L","Kempegowda Bus Stn","Jn.Of Hosa Road(Hosur Road) ",25.3,1,5,5,10,,,
1323,,"340-M","Kempegowda Bus Stn","HSR2nd Sector",21.7,3,24,24,48,,,
1324,," 340-Q","Marathhalli Bridge ","Elctronici City Wipro Gate ",17.9,3,36,"GS",36,,,
1325,,"340-S","Shivajinagara Bus Station","Parangi Palya HSR 2nd Stage ",15.8,2,6,16,22,,,
1326,128,341,"K R Market","Belandur",14.9,2,17,17,34,,,
1327,,"341-A","K R Market","Haralur",17.5,1,9,9,18,,,
1328,,"341-B","K R Market","Choodasandra",17.5,2,16,16,32,,,
1329,,"341-C","K R Market","Kodandarama Nagara ",18.8,2,14,14,28,,,
1330,,"341-D","Kempegowda Bus Stn","Bellandur",19,1,5,5,10,,,
1331,,"341-E","Kempegowda Bus Stn","Haralur",18,1,8,8,16,,,
1332,,"341-G","Shivajinagar","Haralur",17.6,1,6,6,12,,,
1333,," 341-H","Marathhalli Bridge ","Elctronici City Wipro Gate ",16.6,3,36,"GS",36,,,
1334,129,342,"K R Market","Dommasandra",25.2,1,6,6,12,,,
1335,,"342-A","K R Market","Sarjapura",29,6,48,48,96,,,
1336,,"342-AA","K R Market","Thigala Chowdadenahalli",26.2,1,5,5,10,,,
1337,,"342-B","K R Market","Muthanallur",29.5,1,6,6,12,,,
1338,,"342-C","K R Market","Chokkasandra",23.5,1,6,6,12,,,
1339,,"342-D","K R Market","Varthur",27.7,1,6,6,12,,,
1340,,"342-E","K R Market","Thindlu",31.5,1,6,6,12,,,
1341,,"342-F","Kempegowda Bus Stn","Sarjapura",31.5,8,41,41,82,,,
1342,,"SS AC 342-F","Kempegowda Bus Stn","Sarjapura",31.5,8,49,49,98,,,
1343,,"342-FA","Kempegowda Bus Stn","Bidaraguppe ",38.2,1,4,5,9,,,
1344,,"342-G","K R Market","Bikkana Hosahalli",33.4,1,5,5,10,,,
1345,,"342-H","Jn.Of Hosur Road","Sarjapura",29.3,3,18,18,36,,,
1346,,"342-J","K R Market","Valagere Kallahalli",27.4,1,6,6,12,,,
1347,,"342-K","K R Market","Adigara Kallahalli",34.7,2,6,6,12,,,
1348,,"342-L","K R Market","Dodda Thimmasandra",34,1,5,5,10,,,
1349,,"342-M","K.R.Market ","Gundur ",46.5,1,5,5,10,,,
1350,,"342-MA","K.R. Market","Ganagalu",41,1,4,5,9,,,
1351,,"342-N","K R Market","Kammasandra",28.3,1,7,7,14,,,
1352,,"342-P","K.R.Puram","Sulakunte Dinne",24.7,1,5,5,10,,,
1353,,"342-Q","K R Market","Kodathi",21,1,7,7,14,,,
1354,,"342-R","Shivajinagar","Sarjapura",30.3,1,6,6,12,,,
1355,,"342-S","Jn.Of Hosur Road","Dodda Kannelli",11,1,8,8,16,,,
1356,,"342-T","K R Market","Bikkanahalli",33.8,1,5,5,10,,,
1357,,"342-U","K R Market","Pandithana Agrahara",36.2,1,5,5,10,,,
1358,,"342-V","K R Market","Arenur",36.9,1,5,5,10,,,
1359,,"342-VA","K R Market","Handenahalli",34.5,1,4,4,8,,,
1360,,"342-W","K R Market","Chikka Dasarahalli",33.4,1,6,6,12,,,
1361,,"342-WA","Shanthinagar ¨Bus Station","Kuthaganahalli ",30,1,5,5,10,,,
1362,,"342-X","K R Market","Kada Aghrahara ",26,1,6,6,12,,,
1363,,"342Y","K R Market","Thiruva Ranga",37.9,1,5,5,10,,,
1364,,"342-Z","K.R. Market","Mattanahalli ",34.5,1,4,5,9,,,
1365,130,343,"K R Market","Begur",13.8,6,50,50,100,,,
1366,,"343-A","Kempegowda Bus Stn","Hulla Halli",25.1,1,7,7,14,,,
1367,,"343-B","Kempegowda Bus Stn","Kodi Chikkana Halli",15.8,2,12,13,25,,,
1368,,"343-D","K R Market","Kodi Chikkana Halli",12.8,2,18,18,36,,,
1369,,"343-E","Kempegowda Bus Stn","Begur",16.7,4,30,30,60,,,
1370,,"343-F","K R Market","Virat Nagar",12.4,2,14,14,28,,,
1371,,"343-G","K R Market","Yalenahalli",15.1,1,6,6,12,,,
1372,,"343-H","K.R. Market","Bommanahalli MICO Layout",13,2,8,9,17,,,
1373,,"343-J","K R Market","Mailasandra",19.2,1,8,8,16,,,
1374,,"343-K","Kempegowda Bus Stn","Vishwapriya Lyaout",18,1,6,6,12,,,
1375,,"343-L","Kempegowda Bus Stn","MICO Layout",16.5,1,6,6,12,,,
1376,,"343-M","Shanthinagar Bus Station","Shanthinagar Bus Station",40.4,1,4,4,8,,,
1377,131,344,"K R Market","Jigani",24.4,2,11,11,22,,,
1378,,"344-A","K R Market","Haragadde",30,2,11,11,22,,,
1379,,"344-B","Kempegowda Bus Station","Bettadasapura ",25.8,1,8,"GS",8,,,
1380,,"344-C","K R Market","Bettadasanapura",22.3,2,13,13,26,,,
1381,,"344-D","K R Market","Bettadasanapura",18.3,1,5,5,10,,,
1382,132,345,"K R Market","Hulimangala",25.2,2,12,12,24,,,
1383,,"345-A","K R Market","Hulimangala",30.5,1,6,6,12,,,
1384,,"345-C","K.R.Market","Nanjapura",28.2,1,4,4,8,,,
1385,,"345-E","K R Market","Kyalasana Halli",29.5,1,6,6,12,,,
1386,133,346,"Kempegowda Bus Stn","Shikaripalya",26,2,6,6,12,,,
1387,,"346-A","K R Market","Shikaripalya",21.4,3,14,14,28,,,
1388,,"346-B","K R Market","Dodda Nagamangala",18,1,7,7,14,,,
1389,,"346-C","K R Market","Rayasandra",18.7,1,7,7,14,,,
1390,,"346-D","K R Market","Chikka Nagamangala",19.2,1,7,7,14,,,
1391,,"346-E","K R Market","Dodda Toogur",18.6,1,8,8,16,,,
1392,,"346-F","K R Market","Bande Nallasandra",31.5,1,5,5,10,,,
1393,,"346-G","K.R.Market ","Parppana Agrahara ",19,1,10,"GS",10,,,
1394,,"346-H","Kempegowda Bus Stn","Parappana Agrahara ",17,1,6,6,12,,,
1395,,"346-J","K R Market","Bangalore Central Jail",17.1,2,15,15,30,,,
1396,,"346-M","K.R. Market","Gollahalli ",22.6,1,6,6,12,,,
1397,,"346-N","Kempegowda Bus Stn","Dodda Togur",21.5,1,6,6,12,,,
1398,,"346-P","Shivajinagar Bus Station","Shikaripalya",21.8,1,5,5,10,,,
1399,,"346-Q","K.R. Market","Vabasandra ",24.5,1,6,6,12,,,
1400,,"346-R","Neelasandra Rose Garden","Shikaripalya",22,1,5,6,11,,,
1401,,"346-S","K.R.Market ","Veerasandra ",24,1,3,5,8,,,
1402,,"346-T","K.R. Market","Dodda Thogur",20,1,5,6,11,,,
1403,134,347,"K R Market","Kodlu",13.8,2,16,16,32,,,
1404,,"347-A","Kempegowda Bus Stn","Subashnagara ",18.3,1,7,7,14,,,
1405,,"347-AA","K.R.Market ","Subashnagara ",,,,,,,,
1406,,"347-B","Kempegowda Bus Stn","Kudlu",15.9,2,7,7,14,,,
1407,,"347-C","K R Market","Chikka Begur",13.2,2,14,14,28,,,
1408,,"347-D","K R Market","Somasundara Palya",16.9,1,8,8,16,,,
1409,,"347-E","Kempegowda Bus Stn","Somasundara Palya",17.5,1,8,8,16,,,
1410,,"347-F","Kempegowda Bus Stn","Bangalore Central Jail",20.3,2,13,13,26,,,
1411,,"347-G","Shivajinagar","Bangalore Central Jail",16.5,1,8,8,16,,,
1412,,"347-H","Kempegowda  Bus Station","Basapura Maruthi Badavane",15.2,1,6,7,13,,,
1413,,"347-J","K.R.Market ","Bettadasapura ",,,,,,,,
1414,,"347-K","K.R.Market ","AECS Layout(Kudlu)",15,1,6,7,13,,,
1415,,"347-L","Shivajinagar Bus Station","Somasundara Palya",,,,,,,,
1416,135,348,"Kempegowda Bus Stn","Teachers Colony",14.5,1,8,8,16,,,
1417,,"348-A","Kempegowda Bus Stn","Mangammana Palya Doddamma Temple ",15.7,1,8,8,16,,,
1418,,"348-D","Shivajinagar","Mangammana Palya Doddamma Temple ",12.9,1,9,9,18,,,
1419,,"348-E","Yeshwanthpur Reg.Market","Mangammana Palya Doddamma Temple ",23,2,16,16,32,,,
1420,,"348-F","Kempegowda Bus Stn","Agara",17,1,7,7,14,,,
1421,,"348-G","Kempegowda Bus Stn","Hosapalya",17,1,6,6,12,,,
1422,,"348-J","Kempegowda Bus Stn","Govt.School (Mangammanapalya) ",17.3,2,13,13,26,,,
1423,136,349,"K R Market","Huskur",24.1,1,6,6,12,,,
1424,,"349-A","K R Market","Handenahalli",33.5,1,5,5,10,,,
1425,,"349-B","K R Market","Gattahalli",25.1,1,6,6,12,,,
1426,,"349-C","Kempegowda Bus Stn","Huskur",25.2,1,7,7,14,,,
1427,,"349-D","K R Market","Huskur",25.6,1,6,6,12,,,
1428,,"349-E","K R Market","Chintala Madiwala",25.7,1,6,6,12,,,
1429,,"349-F","K R Market","Chikka Thimmasandra",30.5,1,6,6,12,,,
1430,,"349-J","K R Market","Harohalli",30.1,1,4,4,8,,,
1431,,"349-K","Shivajinagar Bus Station","Huskur",24.9,1,11,11,22,,,
1432,,"349-L","K.R.Market ","Shanthipura ",24,1,5,5,10,,,
1433,,"349-M","K.R.Market","Kagglipura ",,1,,,,,,
1434,137,350,"K R Market","Adigondanahalli",31.8,1,5,5,10,,,
1435,,"350-A","K R Market","Tirupalya",22.3,2,10,10,20,,,
1436,,"350-B","K R Market","Muthanallur",29.9,1,6,6,12,,,
1437,,"350-D","K R Market","Sampige Nagar",23.4,1,6,6,12,,,
1438,,"350-E","K R Market","Nanjapura",26.4,1,6,6,12,,,
1439,,"350-G","K R Market","Bommasandra Village",24.3,1,6,6,12,,,
1440,,"350-H","Shanthinagar bus station","Kammasandra",20,1,6,8,14,,,
1441,,"350-J","Shanthinagar bus station","Hebbagodi",18.5,1,5,5,10,,,
1442,138,351,"K R Market","Narayana Ghatta",29,2,12,12,24,,,
1443,,"351-A","Kempegowda Bus Stn","Narayana Ghatta",31,1,7,7,14,,,
1444,,"351-C","K R Market","Ramasagara",31,1,6,6,12,,,
1445,,"351-H","K R Market","Singena Agrahara",30.4,1,8,"GS",8,,,
1446,,"351-J","K R Market","Handenahalli",34,1,4,4,8,,,
1447,,"351-R","Anekal","Sarjapura",33.8,1,3,3,6,,,
1448,139,352,"K R Market","Hennagara",27.8,1,6,6,12,,,
1449,,"352-A","Kempegowda Bus Stn","Hennagara",31.5,1,5,5,10,,,
1450,,"353-B","Kempegowda Bus Stn","Mastena Halli",32.5,1,8,8,16,,,
1451,,"352-E","K R Market","Mastena Halli",28.8,1,6,6,12,,,
1452,140,353,"K R Market","Ramakrishna Pura",28.7,1,6,6,12,,,
1453,,"353-A","K R Market","Rajapura",30.5,1,6,6,12,,,
1454,,"353-B","Huskur","Jigani",12.6,1,8,8,16,,,
